length,input,target
19,56 54 36 43 93 95 46 69 93 80 6 27 66 52 74 26 56 0 18,90
19,8 8 86 63 45 27 2 0 56 68 37 89 30 35 13 65 12 17 6,59
19,78 22 29 79 38 41 46 37 42 41 40 92 94 36 89 74 95 55 76,24
19,83 27 30 62 91 82 54 13 24 66 13 38 57 75 42 10 79 56 6,56
19,5 94 88 72 8 34 33 70 74 95 52 3 15 17 37 1 30 32 27,43
19,9 16 63 55 85 17 82 41 35 94 84 90 20 20 62 10 89 55 94,5
19,89 25 55 82 14 23 26 35 58 34 40 16 39 6 78 49 84 91 94,26
19,82 22 31 53 18 3 78 4 12 32 14 82 26 75 37 27 4 8 95,75
19,56 81 76 80 14 7 59 67 73 68 68 63 74 6 41 92 60 30 63,54
19,77 48 67 50 1 93 36 44 53 75 35 84 73 39 37 87 23 80 63,25
19,89 71 94 62 48 22 35 44 15 36 70 88 71 28 32 30 92 23 28,14
19,57 26 71 19 57 82 41 53 31 7 73 30 50 31 78 33 42 86 9,4
19,21 12 94 53 54 71 77 34 40 55 83 94 22 5 32 29 7 59 61,47
19,6 91 90 77 1 69 1 67 78 11 71 10 77 56 21 2 17 16 27,16
19,62 14 38 23 68 7 71 28 22 41 90 90 11 82 64 23 73 25 72,64
19,10 2 75 75 87 39 95 57 65 67 44 21 14 8 63 7 53 29 5,56
19,81 45 58 59 62 80 18 21 81 18 48 7 25 87 85 1 54 74 15,23
19,22 38 47 53 42 85 3 83 92 88 25 70 95 8 72 40 24 95 40,38
19,88 18 69 95 19 94 13 51 25 89 47 62 24 11 91 22 23 12 25,94
19,83 32 34 94 27 43 25 58 49 63 3 43 61 46 14 74 10 9 65,93
19,53 49 62 36 89 84 3 41 50 12 30 22 18 48 15 95 84 73 86,38
19,63 18 53 34 93 31 0 17 1 53 2 55 74 30 16 74 27 13 77,95
19,17 59 35 56 61 30 44 81 54 92 75 43 94 5 7 25 45 14 29,2
19,74 81 80 37 16 78 58 65 86 90 84 36 85 81 43 37 70 87 70,58
19,11 91 77 65 13 65 9 26 9 20 86 45 14 7 9 17 41 92 91,40
19,71 66 35 81 0 16 13 34 4 26 33 60 6 84 93 70 59 60 83,70
19,33 71 25 94 0 47 44 4 39 66 80 7 2 46 67 91 57 23 46,66
19,66 28 16 10 59 95 61 11 15 16 63 4 83 21 25 6 87 2 55,23
19,63 85 42 0 16 14 11 39 42 39 81 33 29 89 44 83 90 10 37,67
19,90 77 91 9 74 29 63 14 67 14 66 90 50 62 7 66 93 87 53,82
19,92 84 37 68 92 83 6 2 68 90 16 78 72 15 94 38 63 92 36,22
19,81 31 35 25 72 85 36 89 86 75 91 12 14 69 63 59 32 14 90,75
19,24 15 14 15 9 9 88 44 16 27 48 2 85 92 11 92 59 39 81,86
19,82 9 31 22 30 92 47 13 37 10 79 22 30 17 83 67 60 3 88,34
19,87 16 92 55 63 80 93 16 91 49 0 74 59 12 85 74 17 83 34,88
19,54 85 27 67 28 67 20 33 76 14 66 47 8 84 62 23 15 85 55,8
19,64 48 51 58 45 49 38 76 84 88 29 13 33 27 63 21 13 72 86,14
19,5 33 36 92 59 66 10 34 46 54 86 68 59 5 23 21 8 86 66,41
19,65 9 23 50 35 54 89 52 48 48 50 7 80 32 12 23 11 18 90,72
19,78 63 36 79 86 88 52 83 66 21 29 36 3 68 53 11 83 76 16,87
19,94 78 64 34 14 94 49 80 60 16 35 53 75 32 30 39 95 64 48,70
19,3 9 21 26 82 42 85 44 66 3 20 2 13 49 50 9 37 27 28,68
19,15 54 41 8 63 89 36 33 14 29 62 24 88 8 16 46 48 62 14,2
19,23 2 13 78 18 89 19 18 53 50 66 9 87 47 19 68 34 55 24,80
19,95 24 49 41 23 71 50 32 77 65 69 55 81 33 23 42 70 47 90,49
19,56 72 68 3 59 91 63 27 93 57 91 61 36 76 15 80 45 84 64,61
19,70 57 69 89 7 74 19 18 78 4 77 2 30 52 95 52 73 41 21,28
19,88 11 78 10 65 48 58 35 22 64 82 40 59 30 1 64 92 55 53,7
19,61 33 83 75 21 16 88 21 82 44 5 62 29 21 86 82 88 92 78,19
19,41 45 75 62 80 21 29 82 22 52 48 7 12 3 31 59 34 20 18,45
19,9 68 26 64 72 67 51 61 14 77 68 74 24 83 65 29 69 31 40,4
19,80 34 6 10 67 55 16 81 26 19 37 94 90 95 54 56 85 6 53,20
19,84 6 4 18 49 36 5 10 75 55 24 28 85 81 59 82 27 89 38,15
19,44 67 48 46 34 56 30 53 35 40 5 82 51 12 87 76 68 32 40,22
19,58 71 43 46 34 32 47 22 39 21 1 52 81 22 41 0 3 84 17,82
19,46 42 81 82 2 52 93 29 49 73 79 84 52 73 31 16 53 43 42,54
19,29 17 57 28 63 69 31 28 83 70 60 19 39 30 69 16 43 93 68,24
19,88 71 45 35 52 13 62 65 90 79 38 44 50 67 45 54 32 17 93,60
19,32 55 31 11 20 93 53 57 78 23 45 39 33 25 4 52 80 69 36,28
19,22 75 23 5 18 90 8 23 10 77 56 80 39 43 50 40 73 18 2,52
19,14 55 26 95 93 15 66 42 64 72 56 27 54 80 23 52 6 41 12,5
19,4 74 28 31 45 91 23 58 33 51 81 92 58 82 92 16 26 73 60,62
19,27 5 56 14 66 15 51 44 53 27 8 58 90 91 19 31 75 48 66,48
19,61 57 55 77 16 15 82 73 9 90 76 23 84 75 18 49 32 33 73,74
19,18 17 30 18 79 71 52 1 13 87 49 53 29 49 32 63 11 71 42,73
19,67 68 65 65 32 35 54 23 17 49 21 44 52 10 79 86 79 48 87,81
19,35 46 61 28 68 47 49 67 84 34 51 14 65 45 63 39 20 29 53,86
19,22 3 43 34 84 39 2 29 31 37 39 51 78 71 34 65 32 56 64,78
19,87 69 19 8 75 59 56 50 14 89 72 61 8 26 24 93 39 29 20,22
19,16 26 11 69 21 86 90 59 83 85 9 31 72 10 14 84 44 78 8,20
19,82 36 24 11 77 59 44 29 46 43 34 52 71 58 66 66 83 50 77,32
19,23 24 17 65 37 63 30 79 95 78 52 13 48 29 13 54 71 86 71,80
19,33 84 43 18 9 62 5 92 58 51 23 91 47 39 63 34 95 31 79,61
19,63 30 57 18 3 7 70 63 71 71 1 70 66 54 66 95 46 13 61,89
19,88 6 77 56 46 82 18 65 83 45 27 7 89 95 7 74 84 14 70,17
19,30 74 29 23 40 83 8 65 28 63 50 3 32 48 79 23 58 31 50,77
19,3 9 71 64 44 49 40 88 85 77 42 4 78 49 95 9 70 36 69,38
19,74 26 37 54 13 15 41 32 52 41 19 57 3 1 78 85 5 89 54,76
19,31 19 26 18 64 80 11 52 95 3 83 73 46 12 50 60 38 60 84,1
19,12 50 65 54 18 45 77 36 33 69 66 25 9 57 93 25 21 3 82,76
19,58 27 47 36 82 92 77 75 50 76 8 49 39 53 6 89 0 16 34,10
19,50 27 89 32 43 21 57 22 43 64 85 3 1 62 86 10 52 34 7,92
19,89 84 55 91 13 12 45 68 53 78 69 53 20 44 63 33 43 19 51,79
19,0 56 75 42 24 74 14 61 20 89 4 47 26 68 4 32 7 79 59,9
19,8 76 23 74 61 46 34 67 19 58 91 78 82 60 77 57 35 30 3,83
19,93 5 5 55 26 8 70 95 6 41 75 35 79 63 45 88 71 8 63,95
19,59 67 20 45 71 26 4 68 1 84 29 65 36 52 25 19 91 36 49,79
19,92 61 45 52 65 37 42 83 61 18 47 9 90 28 7 86 52 52 28,71
19,64 62 9 28 52 34 11 72 19 17 46 12 32 55 12 28 89 67 51,0
19,58 14 47 44 35 66 32 66 64 85 69 1 1 43 46 20 60 43 59,41
19,48 94 4 64 17 89 30 10 19 95 91 61 25 93 57 12 30 50 79,60
19,41 43 71 4 16 1 44 2 26 74 29 57 7 55 41 37 81 71 72,4
19,3 51 78 71 33 52 69 95 0 20 23 94 12 72 22 45 9 36 38,95
19,43 29 25 50 15 25 34 86 44 76 22 79 19 59 65 94 59 27 40,75
19,35 81 46 54 32 34 70 60 50 45 61 53 55 76 37 51 75 41 28,68
19,24 38 39 91 21 71 51 19 12 41 39 24 15 25 27 79 93 41 4,54
19,63 41 56 23 32 58 15 50 41 56 1 69 38 36 56 20 29 3 76,43
19,25 48 18 79 71 80 22 37 36 68 49 49 84 44 68 63 48 83 88,40
19,63 28 8 50 28 5 19 16 43 62 26 75 93 11 7 27 8 66 13,88
19,34 10 88 54 26 67 56 49 47 14 4 0 9 49 76 10 78 55 74,12
19,73 76 14 72 37 39 81 14 73 52 40 16 62 60 43 8 76 87 72,7
19,27 15 8 57 55 67 17 38 50 46 15 15 10 21 36 33 42 69 18,31
19,30 64 90 48 40 34 92 47 72 5 87 3 69 27 2 84 49 81 43,71
19,79 88 0 90 75 80 59 90 2 30 48 45 15 7 3 95 1 67 70,8
19,78 34 39 65 12 46 45 55 5 31 6 14 8 1 20 54 64 44 90,63
19,44 17 75 59 41 73 67 88 83 90 69 32 6 12 63 68 74 16 39,84
19,30 3 88 43 7 55 13 51 90 27 52 53 67 63 24 94 74 12 92,82
19,13 23 4 62 27 10 60 83 64 62 67 28 94 44 64 8 76 63 29,85
19,80 41 12 3 9 59 6 87 39 12 74 61 16 87 75 74 13 3 30,29
19,33 88 23 15 19 7 42 32 85 68 60 13 43 26 50 94 55 9 1,47
19,11 68 81 84 25 30 32 15 20 31 70 55 86 75 94 86 46 12 86,7
19,43 52 5 81 71 42 36 44 64 64 89 28 14 80 41 35 22 18 80,89
19,60 35 11 60 41 1 41 48 27 75 40 85 17 63 72 29 1 62 33,61
19,93 44 45 6 75 94 47 6 12 45 21 49 27 91 78 31 10 89 21,68
19,59 18 75 44 1 57 92 8 76 2 73 69 6 78 25 72 28 79 14,84
19,50 19 20 82 63 25 63 21 13 51 43 33 83 47 47 52 47 36 48,47
19,64 36 15 85 23 27 4 8 72 63 9 3 50 27 18 55 13 69 28,37
19,33 5 42 53 8 15 64 43 60 60 69 51 38 39 53 41 9 43 6,68
19,22 11 68 17 6 29 34 39 45 52 24 10 10 32 5 79 65 74 92,6
19,2 18 15 13 58 82 89 26 85 5 21 23 7 36 84 34 83 2 52,27
19,42 12 87 5 45 28 61 20 34 4 91 44 41 16 32 84 61 2 94,15
19,4 51 75 37 6 73 57 14 35 82 90 11 93 77 17 30 65 57 54,80
19,34 14 43 24 39 61 53 78 52 16 17 29 55 82 70 69 70 55 3,12
19,76 62 9 52 92 2 32 77 33 45 65 62 14 58 46 65 11 77 88,54
19,82 1 87 48 34 11 54 74 83 16 39 63 58 53 6 4 91 31 13,64
19,54 40 25 38 94 39 53 22 2 0 91 44 41 72 82 3 77 18 92,3
19,20 30 7 82 90 14 13 58 38 28 54 28 87 77 68 79 45 33 95,50
19,35 4 13 55 80 58 27 86 12 93 24 90 44 28 90 60 2 71 37,33
19,65 84 84 17 65 84 94 3 24 34 42 4 55 65 71 75 29 80 35,90
19,7 44 18 17 76 36 70 27 76 73 31 78 78 68 59 68 13 84 88,15
19,54 24 43 30 38 45 79 9 56 68 27 25 1 93 88 12 63 10 53,78
19,29 66 1 4 88 67 36 83 10 57 23 26 94 94 12 4 30 83 25,4
19,27 28 50 36 10 94 92 51 47 43 37 89 37 73 84 65 83 55 77,82
19,19 65 24 92 46 9 84 43 34 29 14 40 46 68 50 77 10 32 35,25
19,63 25 89 27 14 2 65 31 23 26 18 25 40 95 59 95 10 86 72,85
19,37 48 19 5 15 54 15 52 57 4 25 90 91 63 6 46 79 47 27,4
19,45 87 87 84 1 7 5 10 85 80 83 95 67 2 16 52 54 79 60,7
19,10 64 94 50 46 91 71 33 88 66 47 50 47 46 62 66 64 4 33,84
19,48 15 30 66 56 74 87 33 57 95 65 59 21 92 83 71 89 68 74,51
19,47 23 66 13 60 34 90 73 58 18 70 68 73 78 77 47 58 23 59,83
19,48 27 44 87 6 62 8 26 74 58 54 89 3 49 11 49 70 54 19,14
19,45 58 64 31 59 38 3 15 76 69 63 95 53 35 8 72 43 5 63,59
19,20 16 48 47 87 11 48 19 22 35 83 83 5 6 34 88 34 6 55,11
19,17 10 13 64 86 86 11 8 49 65 77 44 40 79 1 31 66 71 70,32
19,29 83 47 92 76 5 47 87 59 20 40 81 45 86 0 41 36 84 12,38
19,57 44 23 58 95 78 47 44 84 51 71 69 39 15 82 84 22 35 52,82
19,50 47 85 47 32 53 58 80 61 74 7 53 9 57 76 39 86 95 45,14
19,60 93 3 92 54 6 18 64 3 61 12 14 12 36 48 43 26 20 84,25
19,37 66 40 17 58 13 65 30 12 22 80 63 38 67 94 93 73 59 21,44
19,59 40 19 78 13 0 5 87 47 44 43 77 15 77 2 33 55 51 32,1
19,87 0 94 84 92 44 25 8 86 10 28 11 19 72 50 24 85 54 75,60
19,67 10 41 1 23 87 73 11 92 20 64 80 54 25 94 79 81 0 5,63
19,63 75 76 39 59 70 39 30 18 18 33 14 39 19 36 31 41 91 4,47
19,51 10 91 77 81 55 7 54 63 46 33 32 14 70 54 72 92 68 77,23
19,84 13 48 18 14 69 10 56 48 33 78 22 7 88 10 70 27 4 61,56
19,50 34 35 56 47 20 12 56 77 27 26 85 11 51 90 62 24 37 12,76
19,43 15 64 78 4 84 70 13 66 70 90 36 61 0 82 54 68 66 15,7
19,29 6 33 92 37 9 60 27 28 53 74 42 40 23 78 49 94 25 78,45
19,75 39 90 31 28 73 29 78 91 86 32 42 9 77 4 43 87 64 94,24
19,37 26 86 88 24 6 37 29 45 47 11 35 90 49 6 67 48 58 40,33
19,44 74 68 77 39 71 11 87 74 28 41 55 61 11 80 80 20 79 56,92
19,81 72 13 39 82 49 15 87 63 41 1 9 6 77 66 43 36 72 85,49
19,61 51 69 83 83 41 15 21 4 19 30 40 82 6 64 34 59 54 2,18
19,85 17 94 94 22 95 14 39 71 80 71 41 76 36 80 91 78 28 92,16
19,1 22 74 78 70 18 23 18 67 39 35 55 11 39 6 95 64 48 6,65
19,26 3 86 61 32 68 94 48 15 38 36 44 34 94 55 33 88 43 62,0
19,14 41 75 16 50 55 26 21 58 12 12 38 21 61 61 24 27 16 2,94
19,92 94 13 60 93 25 54 42 37 13 25 38 14 66 0 44 30 45 21,38
19,27 87 81 66 83 21 28 61 7 91 35 26 88 33 73 79 2 5 65,90
19,95 48 70 48 39 26 43 80 13 73 85 23 44 57 79 57 36 62 11,41
19,48 36 18 10 89 62 61 71 71 46 30 20 42 32 18 82 77 81 2,52
19,95 7 42 57 79 95 58 20 34 39 24 6 64 24 33 7 33 78 9,52
19,59 51 7 25 56 58 43 52 59 86 91 51 49 56 42 25 33 83 42,76
19,39 13 24 31 22 34 22 56 19 86 52 28 25 75 77 83 31 71 63,95
19,24 93 18 44 35 30 38 87 33 68 34 61 58 60 51 66 63 68 41,24
19,47 0 18 70 91 33 6 24 64 54 14 50 26 40 95 88 73 54 94,29
19,48 33 58 67 2 18 36 76 6 53 28 23 84 85 93 92 26 77 2,95
19,19 31 29 69 13 39 74 6 43 57 16 14 34 78 85 93 83 10 37,58
19,49 93 27 83 84 37 53 60 34 30 15 95 20 48 45 76 41 69 48,11
19,26 50 79 66 16 43 24 64 54 79 17 5 41 56 53 17 80 54 57,33
19,22 5 63 1 83 84 16 45 75 89 63 82 60 38 85 72 45 79 39,54
19,35 76 74 7 86 22 45 68 68 20 41 4 76 26 95 22 89 65 62,29
19,60 9 5 93 32 94 54 43 88 24 32 68 40 49 63 3 93 16 46,0
19,77 77 28 67 70 76 41 20 46 9 30 41 32 69 47 53 35 58 21,5
19,48 93 80 10 7 27 12 16 83 15 50 4 20 24 73 36 44 78 33,13
19,23 73 3 55 81 7 50 86 28 91 95 70 20 4 51 89 81 67 42,40
19,1 48 34 9 76 52 51 20 48 60 19 2 74 54 33 6 71 72 13,47
19,19 83 69 88 79 73 17 72 53 45 93 44 50 13 25 6 72 15 38,86
19,47 17 12 33 77 18 59 67 37 36 60 48 40 11 82 6 30 35 62,29
19,25 92 61 93 43 40 51 73 77 21 3 93 13 11 30 39 33 73 68,43
19,22 53 18 22 72 2 40 65 34 65 30 15 18 14 44 66 74 77 91,26
19,16 93 72 46 82 68 84 24 63 88 72 41 66 78 46 51 31 87 81,1
19,45 41 23 24 72 75 44 5 93 81 6 48 42 48 74 30 15 34 70,82
19,29 14 20 0 9 9 2 34 41 81 89 86 5 77 28 88 84 80 67,43
19,23 22 80 72 63 45 61 73 20 40 92 55 19 49 94 18 84 14 40,88
19,94 37 8 37 91 15 3 71 9 95 30 15 89 85 68 2 72 30 13,76
19,76 5 77 39 55 4 69 79 8 75 33 60 71 85 13 49 85 64 12,79
19,66 51 19 48 64 63 57 3 1 66 11 11 57 94 95 56 46 11 38,21
19,81 29 76 69 65 77 3 71 51 64 9 92 82 50 52 8 19 48 30,84
19,4 23 77 44 54 23 48 64 55 62 82 27 52 48 86 75 82 5 17,48
19,85 40 33 34 60 53 89 94 18 95 51 4 7 25 92 25 19 25 76,41
19,61 55 57 47 57 60 68 14 45 65 32 42 20 65 32 50 3 60 77,2
19,60 17 3 75 82 37 66 93 28 22 61 35 25 7 86 41 53 57 14,54
19,47 65 8 40 3 91 65 24 81 62 36 82 47 20 30 47 1 52 75,32
19,76 58 51 65 93 8 85 89 53 2 77 30 57 7 41 52 73 38 80,23
19,81 94 63 37 39 50 47 39 44 83 41 78 33 74 95 55 53 16 95,21
19,44 78 75 55 1 86 46 53 59 84 71 67 5 4 14 45 55 85 5,32
19,16 10 63 40 74 25 89 11 71 59 55 7 43 6 78 80 56 25 86,54
19,76 2 43 8 88 2 16 74 8 83 89 86 72 67 17 79 54 4 9,25
19,43 84 44 32 22 43 37 22 69 95 72 42 27 77 78 24 94 31 43,31
19,54 28 76 68 64 95 75 5 1 39 12 14 36 83 56 0 2 87 45,76
19,55 84 7 45 46 26 53 26 91 87 50 49 27 41 95 62 59 10 2,19
19,32 93 76 20 32 5 4 69 38 31 36 42 36 23 62 83 25 75 14,88
19,30 49 66 83 8 12 24 26 69 21 77 80 18 66 55 93 5 52 31,1
19,38 52 35 74 3 77 34 32 56 86 23 69 68 39 6 39 79 81 38,81
19,29 61 83 26 83 75 91 6 3 40 27 51 29 83 79 38 61 84 47,76
19,40 69 38 33 85 40 33 32 36 84 38 13 67 17 85 80 56 89 8,67
19,31 60 42 29 28 71 81 14 23 20 46 18 56 9 63 36 85 7 26,29
19,35 92 95 77 9 22 61 37 46 27 83 12 16 83 52 63 3 9 54,84
19,7 45 16 64 53 92 71 50 39 1 45 24 56 58 36 43 1 23 2,94
19,14 37 9 55 89 41 15 80 19 69 74 37 34 62 80 95 24 40 8,58
19,75 26 22 59 74 3 44 39 34 83 93 64 42 36 41 25 20 63 91,46
19,34 44 10 9 91 41 40 55 54 10 42 93 65 49 23 56 24 87 51,22
19,33 24 0 2 43 89 12 52 27 21 57 94 66 14 11 23 30 2 35,27
19,24 80 32 4 54 64 48 79 77 0 42 44 40 13 82 56 63 4 60,38
19,35 81 21 94 69 89 7 66 79 86 18 21 60 65 28 76 92 28 94,17
19,4 72 85 35 61 91 64 9 67 73 31 19 88 0 87 37 39 31 26,43
19,28 47 76 13 71 73 59 76 2 68 26 77 81 54 90 65 62 68 81,65
19,20 13 18 28 18 65 81 75 31 19 45 75 23 44 48 93 32 1 40,73
19,2 12 47 47 2 93 21 47 40 22 23 59 87 71 44 18 58 76 91,84
19,25 10 67 67 69 63 39 63 89 29 70 29 45 49 5 79 67 17 95,85
19,93 6 59 20 29 81 54 49 49 64 29 17 68 95 27 25 75 83 58,25
19,85 39 21 22 10 74 83 70 70 61 87 69 69 67 72 65 36 66 43,81
19,21 73 34 11 64 79 20 54 86 81 40 95 48 91 42 2 3 75 85,24
19,37 57 60 85 34 79 33 41 19 80 60 42 2 55 34 38 13 43 84,40
19,79 76 41 59 32 15 36 93 16 56 52 83 50 39 2 5 90 53 66,75
19,77 34 86 21 0 44 24 74 63 53 10 87 44 68 6 23 77 27 53,31
19,44 50 68 68 71 95 77 27 87 29 29 24 60 88 45 69 29 33 38,27
19,93 6 15 3 77 64 56 73 33 11 0 70 33 35 24 69 64 73 78,33
19,90 19 46 56 63 62 93 61 52 31 6 51 28 40 66 66 13 18 1,42
19,69 13 44 22 32 89 49 93 56 35 64 23 34 14 35 50 34 34 3,53
19,48 80 52 57 20 8 18 65 28 84 15 26 36 60 12 89 58 65 12,9
19,80 20 79 70 79 93 11 59 84 95 25 50 76 12 68 80 9 56 67,41
19,65 13 92 22 94 70 39 61 80 66 71 41 51 92 86 23 24 88 35,9
19,10 4 84 11 32 44 13 78 69 91 51 49 24 83 90 47 17 65 51,93
19,59 7 83 55 61 46 39 80 76 9 72 1 63 57 32 5 89 92 34,84
19,34 2 25 57 17 35 51 56 24 70 64 52 88 37 64 22 11 86 36,51
19,6 5 1 78 85 63 48 11 95 48 64 29 43 32 52 28 6 68 84,22
19,41 22 76 74 53 33 42 67 21 55 91 26 22 13 6 13 74 22 34,89
19,59 76 73 66 63 94 72 4 69 58 54 48 54 25 57 17 66 84 54,77
19,62 31 70 11 13 40 78 15 89 83 93 16 88 68 65 45 87 51 53,2
19,89 12 56 16 82 43 32 93 8 50 66 82 91 57 61 10 26 26 5,49
19,16 57 1 75 36 81 78 49 19 16 35 45 32 49 21 89 85 1 28,33
19,94 11 62 56 19 5 86 85 40 49 2 42 19 16 15 80 68 17 40,6
19,4 67 63 7 40 49 88 39 87 85 40 41 25 60 76 84 0 50 11,28
19,50 89 45 70 77 29 89 18 56 23 0 50 29 61 66 54 32 41 49,52
19,49 95 8 35 71 78 27 69 14 75 12 82 95 0 22 38 36 45 23,54
19,42 64 10 44 92 20 14 30 39 46 76 26 15 20 24 48 92 17 63,42
19,7 58 30 94 16 81 40 11 43 27 57 1 87 44 9 32 47 23 54,85
19,8 50 12 60 35 4 5 72 40 80 46 89 87 28 92 47 35 52 74,24
19,29 30 2 34 50 35 23 95 5 3 14 28 11 61 0 43 8 68 49,60
19,14 63 39 48 2 54 45 23 20 64 0 55 68 58 30 11 71 41 89,23
19,18 71 10 22 1 72 19 83 46 17 20 90 77 84 31 74 83 29 67,34
19,49 14 65 25 90 87 42 80 55 43 90 19 66 93 25 5 11 2 28,65
19,29 49 93 5 43 17 45 9 25 34 53 2 45 90 64 4 11 29 13,0
19,15 56 45 77 69 13 34 15 17 78 84 35 84 79 31 62 25 52 36,59
19,57 94 46 4 57 56 65 43 1 34 43 71 51 60 82 71 81 95 39,42
19,77 51 3 93 17 54 57 73 65 87 60 55 32 69 31 39 11 31 36,25
19,9 34 8 5 41 68 36 9 18 79 5 44 57 52 82 81 22 74 23,55
19,41 9 41 85 59 15 62 48 73 73 46 22 56 18 70 75 88 52 9,66
19,54 82 15 80 50 51 11 83 38 60 57 43 47 41 5 15 9 45 7,9
19,44 83 0 44 58 31 34 22 83 53 52 34 54 26 36 46 28 75 35,30
19,21 2 65 66 51 17 23 94 42 5 32 42 43 31 66 85 40 2 23,74
19,26 46 33 65 50 80 80 80 38 47 67 43 49 18 35 51 17 15 50,10
19,22 9 55 27 38 31 39 29 81 71 69 13 21 43 50 39 22 22 22,67
19,30 31 55 59 30 38 29 71 46 9 52 55 39 89 88 90 18 25 92,78
19,67 44 48 53 66 35 40 91 37 49 38 30 25 8 87 57 4 54 32,37
19,91 45 47 39 0 73 65 82 74 72 31 85 27 18 16 26 57 25 15,12
19,48 30 80 30 89 71 92 45 95 32 67 78 67 21 20 72 69 57 74,1
19,95 54 16 73 66 73 16 23 52 27 90 89 68 39 9 69 17 7 25,0
19,47 65 41 37 42 8 31 23 12 42 27 15 8 6 31 11 71 52 1,78
19,29 21 36 38 70 89 23 54 0 47 73 25 75 39 78 24 83 38 8,14
19,22 27 69 45 49 35 68 92 65 1 94 65 90 26 59 33 46 43 82,3
19,91 79 72 25 32 15 40 4 26 23 17 30 93 38 41 67 28 61 35,21
19,56 1 63 0 64 4 79 20 12 22 42 56 14 63 70 24 24 48 22,64
19,3 22 38 69 28 90 72 79 36 57 91 23 3 32 86 11 62 35 56,65
19,27 70 70 17 27 86 59 52 93 40 2 71 25 46 7 88 16 54 55,1
19,32 18 1 71 58 59 36 70 31 23 42 35 45 42 16 18 90 73 48,92
19,32 90 74 28 83 1 32 53 88 22 7 46 12 62 80 2 5 50 25,48
19,11 65 3 48 17 75 91 45 14 30 55 44 52 64 72 92 94 35 45,60
19,23 33 31 86 49 62 54 41 95 71 72 30 10 82 72 1 25 78 57,64
19,55 21 14 86 1 4 46 92 88 86 0 52 69 5 27 67 35 84 87,51
19,36 59 7 87 81 94 90 51 66 13 58 75 58 44 36 37 0 27 42,33
19,15 40 58 27 51 26 58 58 47 16 64 41 50 82 54 48 30 6 84,3
19,88 57 46 60 45 1 72 80 28 39 4 92 17 30 83 52 48 33 95,94
19,36 35 80 70 17 48 47 88 34 52 23 25 39 6 67 10 47 40 30,66
19,47 5 89 62 61 30 41 70 14 75 44 68 86 63 50 32 61 10 13,61
19,21 21 28 40 64 65 39 9 8 77 71 71 13 46 60 61 95 63 89,89
19,43 21 12 36 21 90 46 41 4 78 76 6 85 67 38 73 53 19 30,79
19,21 31 47 52 5 48 40 4 40 17 42 62 88 34 79 59 31 67 36,35
19,21 84 22 4 74 24 1 23 65 19 39 74 14 39 39 80 35 68 78,95
19,35 1 22 48 34 86 69 54 59 25 70 71 9 39 18 57 54 65 93,1
19,63 53 66 53 27 69 47 72 79 14 27 36 77 94 10 75 17 35 39,29
